X,Y,Z,u_x,u_y,u_z,sxx,syy,szz,sxy,sxz,syz
0.147820636630058,0.400000005960464,-1.00049209594727,9.73542052223896e-06,-2.91649458353037e-06,-1.16394883208553e-07,9042.24830459625,-36979.7334457853,-153.828359705085,12390.9180457226,68.415180723925,1102.76734563402
0.147820636630058,0.400000005960464,-0.999507963657379,9.73481279809995e-06,-2.91562602137825e-06,-1.1634588459942e-07,10089.1838811678,-36213.9970256731,-1118.70569892938,13018.1805464975,633.693697670085,-166.268334974819
0.149028763175011,0,-0.999675273895264,0,0,0,-542239.355074547,-1804391.60366513,-505707.819902083,310552.940980504,36472.7110773353,-16811.3695637216
0.149028763175011,0.400000005960464,-0.999675273895264,9.73513307153146e-06,-2.95900011040703e-06,-1.15590801422452e-07,8246.7293900086,-37381.4778107781,2677.36107083297,10789.665010453,534.44957899881,605.626554014183
0.14975680410862,0,-1.00022304058075,0,0,0,-496213.703885707,-1786947.07592924,-426553.402649078,300678.660341389,18798.8406356487,23649.0962250861
0.14975680410862,0.400000005960464,-1.00022304058075,9.73557112221249e-06,-2.98562843655249e-06,-1.15204453329447e-07,4991.62989227044,-39554.0165865325,1911.47828503007,6577.08335896418,668.735305598158,1637.53058181638
0.150000005960464,0,-0.999810993671417,0,0,0,-728649.080308719,-1970051.21713098,-728649.080308719,374783.917070647,-3.35465943654056e-10,59781.9967391453
0.150000005960464,0.400000005960464,-0.999810993671417,9.73535281460642e-06,-2.99403309363417e-06,-1.15013776395686e-07,3106.09744143385,-40763.9274908379,187.772529865215,4263.87734751729,-166.457623670765,-1449.53781184879
0.00385976675897837,0.0137931036538091,-0.99602597951889,7.77806002906542e-08,1.41240563837434e-07,-8.88339932819809e-09,24852.240783363,1039823.14155874,27809.751730242,40830.8194175306,29450.2617240627,26646.1899729946
0.00385976675897837,0.0275862073076183,-0.99602597951889,1.49560457640512e-07,2.77810814043135e-07,-1.34470318180498e-08,-4948.66813831925,954308.188437127,1410.83309204498,6509.43870220604,-1407.92940490171,8047.14931900284
0.00385976675897837,0.0413793109614274,-0.99602597951889,2.42895304058279e-07,4.05036300080728e-07,-1.84119821235253e-08,-1995.42164758711,934832.819076333,8882.47552088666,7701.81405139464,-842.708083648451,-3642.80919017431
0.00385976675897837,0.0551724146152365,-0.99602597951889,3.6586002121493e-07,5.29131198021403e-07,-2.20205587426192e-08,-2641.77930634363,903916.883441122,9344.3635318398,10517.6905707716,797.089607539907,-7086.95304405201
0.00385976675897837,0.0689655182690456,-0.99602597951889,5.17500372710802e-07,6.48432416353051e-07,-2.35699318868852e-08,-2915.05657381826,868133.226575772,7497.43338181125,11479.6274906729,-156.349491686577,-7106.64995160824
0.00385976675897837,0.0827586219228547,-0.99602597951889,6.9620559266881e-07,7.62199060949628e-07,-2.04376636449956e-08,-2444.75582106577,829373.105511335,8020.81851498509,9797.11646306008,1072.91236972016,-6477.60661346298
0.00385976675897837,0.0965517255766638,-0.99602597951889,9.01286297404248e-07,8.7182981455978e-07,-1.81501001897299e-08,-3524.33382678295,803366.469486676,5329.53616233158,8964.77964547754,-836.78669262475,-13490.6481971976
0.00385976675897837,0.110344829230473,-0.99602597951889,1.13104047627618e-06,9.79708367752947e-07,-1.72067270253611e-08,-842.689636287774,765730.175225861,8314.74070322292,11298.6594197602,623.652407980318,-9063.18759832746
0.00385976675897837,0.124137932884282,-0.99602597951889,1.38509167363658e-06,1.08070059359864e-06,-2.07202138707626e-08,-1344.88931111262,726838.195084614,8350.32615793264,9861.22297209536,392.978714923547,-8013.65857307495
